2025-08-08 12:59:18 [INFO]: No unread matching emails found.
2025-08-08 12:59:25 [INFO]: Processed 1 email(s) successfully.
2025-08-08 12:59:30 [INFO]: No unread matching emails found.
2025-08-08 12:59:36 [INFO]: No unread matching emails found.
2025-08-08 12:59:42 [INFO]: No unread matching emails found.
2025-08-08 12:59:49 [INFO]: Processed 1 email(s) successfully.
2025-08-08 12:59:54 [INFO]: No unread matching emails found.
2025-08-08 13:00:00 [INFO]: No unread matching emails found.
2025-08-08 13:00:06 [INFO]: No unread matching emails found.
2025-08-08 13:00:12 [INFO]: No unread matching emails found.
2025-08-08 13:00:18 [INFO]: No unread matching emails found.
2025-08-08 13:00:24 [INFO]: No unread matching emails found.
2025-08-08 13:00:30 [INFO]: No unread matching emails found.
2025-08-08 13:00:36 [INFO]: No unread matching emails found.
2025-08-08 13:00:42 [INFO]: No unread matching emails found.
2025-08-08 13:00:48 [INFO]: No unread matching emails found.
2025-08-08 13:00:54 [INFO]: No unread matching emails found.
2025-08-08 13:01:00 [INFO]: No unread matching emails found.
2025-08-08 13:01:06 [INFO]: No unread matching emails found.
2025-08-08 13:01:12 [INFO]: No unread matching emails found.
2025-08-08 13:01:18 [INFO]: No unread matching emails found.
2025-08-08 13:01:24 [INFO]: No unread matching emails found.
2025-08-08 13:01:37 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:01:43 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:01:49 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:01:55 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:01:55 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:02:01 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:02:07 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:02:13 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:02:19 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:02:25 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
2025-08-08 13:02:31 [ERROR]: Failed to fetch unread filtered emails: request to https://gmail.googleapis.com/gmail/v1/users/me/messages?q=is%3Aunread%20subject%3A%22%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B7%D9%84%D8%A8%D9%8A%D8%A9%20%D8%B1%D9%82%D9%85%22%20from%3A%22preparateur%20magasin%22&maxResults=5 failed, reason: getaddrinfo ENOTFOUND gmail.googleapis.com
